iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
AUT,Austria,2019,9.08026,Europe & Central Asia,-16.71,-1.509
BEL,Belgium,2019,10.12343,Europe & Central Asia,-17.9,-1.829
CAN,Canada,2019,19.77897,North America,-15.83,-3.32
CHL,Chile,2019,5.682408,Latin America & Caribbean,,
COL,Colombia,2019,3.683094,Latin America & Caribbean,,
CRI,Costa Rica,2019,3.187736,Latin America & Caribbean,,
CZE,Czechia,2019,11.46535,Europe & Central Asia,-20.76,-2.474
DNK,Denmark,2019,7.870842,Europe & Central Asia,-30.06,-2.819
EST,Estonia,2019,10.93776,Europe & Central Asia,-50.24,-8.021
FIN,Finland,2019,9.53934,Europe & Central Asia,-31.68,-3.399
FRA,France,2019,6.62196,Europe & Central Asia,-19.77,-1.393
DEU,Germany,2019,9.550692,Europe & Central Asia,-27.61,-3.032
